Ad Number,Position,Category,Requirements,Requirements_processed,Sentiment,Domination
71,Proje Mühendisi,Engineering,Bulunduğu pozisyonda en az üç yıl bilgi ve deneyime sahip olmak dört yıllık üniversitelerin mühendislik bölümünden mezun olmak Ekip çalışmasına yatkın ve sorumluluk sahibi olmak APQP konusunda bilgi sahibi olmak Stres altında dikkatli ve titiz çalışabilmek ve doğru karar alabilmek İleri derecede İngilizce bilgisi,bulunduğu pozisyonda en az üç yıl bilgi ve deneyime sahip olmak dört yıllık üniversitelerin mühendislik bölümünden mezun olmak ekip çalışmasına yatkın ve sorumluluk sahibi olmak apqp konusunda bilgi sahibi olmak stres altında dikkatli ve titiz çalışabilmek ve doğru karar alabilmek ileri derecede ingilizce bilgisi,positive,male-dominated
72,Uygulama Mühendisi / Uzman Yapısal Analiz,Engineering,Makina otomotiv veya uçak mühendisliği bölümlerinden mezun olmak En az üç yıl sonlu eleman analizi yazılımı kullanarak projeler gerçekleştirmiş olmak Erkek adaylar için askerlik hizmetini tamamlamış ya da muaf olmak İyi seviyede ingilizce bilmek Yeni mühendislik becerilerini ve yazılımlarını hızlı ve bağımsız bir şekilde öğrenme becerisine sahip olmak Ekip çalışmasına ve araştırmaya yatkın olmak Bursa'da ikamet eden veya edebilecek,makina otomotiv veya uçak mühendisliği bölümlerinden mezun olmak en az üç yıl sonlu eleman analizi yazılımı kullanarak projeler gerçekleştirmiş olmak erkek adaylar için askerlik hizmetini tamamlamış ya da muaf olmak iyi seviyede ingilizce bilmek yeni mühendislik becerilerini ve yazılımlarını hızlı ve bağımsız bir şekilde öğrenme becerisine sahip olmak ekip çalışmasına ve araştırmaya yatkın olmak bursa'da ikamet eden veya edebilecek,positive,male-dominated
73,Project Engineer,Engineering,Üniversitelerin Mühendislik fakültelerinden mezun Tercihen Elektrik Elektronik Mühendisi İyi derecede İngilizce bilen B Sınıfı sürücü belgesine sahip ve seyahat engeli olmayan Tercihen akıllı ev ve bina otomasyon sistemleri üzerine benzer pozisyonlarda çalışmış Erkek adaylar için askerlik görevini yapmış İyi derecede Autocad ve Microsoft Office bilgisine sahip Temel düzeyde network ve ağ bilgisine sahip Teknolojiye meraklı öğrenmeye ve gelişime açık,üniversitelerin mühendislik fakültelerinden mezun tercihen elektrik elektronik mühendisi iyi derecede ingilizce bilen b sınıfı sürücü belgesine sahip ve seyahat engeli olmayan tercihen akıllı ev ve bina otomasyon sistemleri üzerine benzer pozisyonlarda çalışmış erkek adaylar için askerlik görevini yapmış iyi derecede autocad ve microsoft office bilgisine sahip temel düzeyde network ve ağ bilgisine sahip teknolojiye meraklı öğrenmeye ve gelişime açık,positive,male-dominated
74,Çevre Mühendisi,Engineering,En az üç Yıl üzeri Çevre Danışmanlığı Çevre İzni Ve Raporlama Konularında veya Atıksu Arıtma Tesisi İşletme Ve Bakım Konusunda Tecrübeli Sinop İlinde ikamet eden veya edebilecek olan Seyahat Engeli Olmayan Aktif Araç Kullanabilen Kendini Geliştiren Öğrenmeye Açık Disiplinli Çalışabilen Sorumluluk Sahibi Çevre Mevzuatlarına Ve Entegre Çevre Bilgi Sistemine Hakim Microsoft Office Uygulamalarına Hakim Takım Çalışmasına Yatkın İletişim Kabiliyeti Yüksek Analitik Düşünüp Çözüm Odaklı Çalışabilen İkna Kabiliyeti Yüksek İnsan İlişkileri Güçlü,en az üç yıl üzeri çevre danışmanlığı çevre izni ve raporlama konularında veya atıksu arıtma tesisi işletme ve bakım konusunda tecrübeli sinop ilinde ikamet eden veya edebilecek olan seyahat engeli olmayan aktif araç kullanabilen kendini geliştiren öğrenmeye açık disiplinli çalışabilen sorumluluk sahibi çevre mevzuatlarına ve entegre çevre bilgi sistemine hakim microsoft office uygulamalarına hakim takım çalışmasına yatkın iletişim kabiliyeti yüksek analitik düşünüp çözüm odaklı çalışabilen ikna kabiliyeti yüksek insan ilişkileri güçlü,positive,male-dominated
75,Software Engineer,Engineering,Temel ön uç kavramlarına aşinalık Git ile deneyim güvenlik ilkeleri ve güvenli kodlama konusunda sağlam bir anlayış ERP sistemleri geliştirmede deneyim,temel ön uç kavramlarına aşinalık git ile deneyim güvenlik ilkeleri ve güvenli kodlama konusunda sağlam bir anlayış erp sistemleri geliştirmede deneyim,neutral,male-dominated
76,Ziraat Mühendisi,Engineering,Saha deneyimi olan Ziraat Mühendisi Gübre saha teknik destek ve satış alanında en az beş yıl tecrübeli B sınıfı ehliyete sahip Erkek adaylar için askerlik görevini tamamlamış ya da muaf Seyahat engeli olmayan,saha deneyimi olan ziraat mühendisi gübre saha teknik destek ve satış alanında en az beş yıl tecrübeli b sınıfı ehliyete sahip erkek adaylar için askerlik görevini tamamlamış ya da muaf seyahat engeli olmayan,neutral,male-dominated
77,Management Trainee (Yeni Mezun Mühendis),Engineering,Üniversitelerin Endüstri Mühendisliği Tekstil Mühendisliği fakültelerinden mezun Tercihen süreç yönetimi ve yalınlaşma konularında staj tecrübeli Proje yönetimi konusunda istekli Öğrenmeye istekli Kalite ve müşteri odaklı Detaylı araştırma ve analiz becerisine sahip Ekip çalışmasına yatkın yazılı ve sözlü iletişim kabiliyeti yüksek Erkek adaylar için askerliğini tamamlamış ya da iki yıl tecilli,üniversitelerin endüstri mühendisliği tekstil mühendisliği fakültelerinden mezun tercihen süreç yönetimi ve yalınlaşma konularında staj tecrübeli proje yönetimi konusunda istekli öğrenmeye istekli kalite ve müşteri odaklı detaylı araştırma ve analiz becerisine sahip ekip çalışmasına yatkın yazılı ve sözlü iletişim kabiliyeti yüksek erkek adaylar için askerliğini tamamlamış ya da iki yıl tecilli,positive,male-dominated
78,Denetmen,Controller/Inspector/Supervisor,Tercihen Üniversitelerin Mimarlık İnşaat Mühendisliği Harita Mühendisliği veya Şehir ve Bölge Planlama bölümlerinden mezun Sermaye Piyasası Kurulu Gayrimenkul Değerleme lisansına sahip Tecrübe şartını yıl olarak doldurmuş ve beş yıllık Tecrübe Belgesine sahip Mesleki Uzmanlık Seviyesi Yüksek olan Tercihen gelir getiren mülklerin saha ve kontrol çalışmalarında uzmanlaşmış Sektörde öncü olan bankaların şartname ve uygulamalarına hakim Türkiye’nin her bölgesinde ticari ve nitelikli raporların kontrolünü sağlamış Yoğun iş temposuna adaptasyon sağlayabilen İletişim becerisi yüksek Kalite ve sonuç odaklı Ekip Çalışmasına yatkın Strese Dayanıklı Koordinasyon becerisi yüksek analitik düşünce ve araştırmacı yapıya sahip,tercihen üniversitelerin mimarlık inşaat mühendisliği harita mühendisliği veya şehir ve bölge planlama bölümlerinden mezun sermaye piyasası kurulu gayrimenkul değerleme lisansına sahip tecrübe şartını yıl olarak doldurmuş ve beş yıllık tecrübe belgesine sahip mesleki uzmanlık seviyesi yüksek olan tercihen gelir getiren mülklerin saha ve kontrol çalışmalarında uzmanlaşmış sektörde öncü olan bankaların şartname ve uygulamalarına hakim türkiye’nin her bölgesinde ticari ve nitelikli raporların kontrolünü sağlamış yoğun iş temposuna adaptasyon sağlayabilen iletişim becerisi yüksek kalite ve sonuç odaklı ekip çalışmasına yatkın strese dayanıklı koordinasyon becerisi yüksek analitik düşünce ve araştırmacı yapıya sahip,positive,male-dominated
79,Financial Controller,Controller/Inspector/Supervisor,İşletme Ekonomi Muhasebe veya ilgili alanlarda lisans veya yüksek lisans derecesi minimum üç-dört yıl çalışma deneyimi İyi düzeyde yazılı ve sözlü İngilizce Mükemmel düzeyde MS Excel Analitik ve stratejik düşünebilme sorumluluk alabilme öncelikleri belirleyebilme Özenli titiz ve çözüm odaklı ısrarlı ve çalışmalarını takip ve sonuçlandırma konusunda istekli Erkek adaylar için askerliğini tamamlamış,işletme ekonomi muhasebe veya ilgili alanlarda lisans veya yüksek lisans derecesi minimum üç-dört yıl çalışma deneyimi iyi düzeyde yazılı ve sözlü ingilizce mükemmel düzeyde ms excel analitik ve stratejik düşünebilme sorumluluk alabilme öncelikleri belirleyebilme özenli titiz ve çözüm odaklı ısrarlı ve çalışmalarını takip ve sonuçlandırma konusunda istekli erkek adaylar için askerliğini tamamlamış,positive,male-dominated
80,Financial Controller,Controller/Inspector/Supervisor,Dört yıllık üniversite derecesi Kontrol veya mali denetim konusunda en az bir yıl deneyimli İyi iletişim ve müzakere becerileri Kendini motive eden proaktif ve enerjik Bağımsız öğrenme kapasitesi Güçlü analitik problem çözme becerileri İngilizce'de mükemmel iletişim becerileri Stratejik düşünen inisiyatif alan,dört yıllık üniversite derecesi kontrol veya mali denetim konusunda en az bir yıl deneyimli iyi iletişim ve müzakere becerileri kendini motive eden proaktif ve enerjik bağımsız öğrenme kapasitesi güçlü analitik problem çözme becerileri ingilizce'de mükemmel iletişim becerileri stratejik düşünen inisiyatif alan,positive,male-dominated
81,Asset Management Operational Permanent Controller,Controller/Inspector/Supervisor,Ekonomi Finans veya Mühendislik fakültelerinde saygın bir üniversiteden lisans derecesi Varlık Yönetimi veya Banka veya Menkul Kıymet firmaları ekiplerinde iki yılı aşkın Risk veya Denetim veya İç Kontrol deneyimi Risk Yönetimi kavramı hakkında genel bir anlayış Finansal araçlar hakkında bilgi Son teslim tarihleri içinde hızlı ve sıklıkla yüksek kaliteli belgeler sunan titizlik analiz ve sentez kapasitesi Güçlü organizasyon becerileri detaylara dikkat proaktif ve inisiyatif kapasiteleri güvenilirlik özerklik ve dinamizm İletişim becerileri açık fikirlilik ve takım oyunculuğu İngilizce akıcılığı İyi derecede Office araçları bilgisi,ekonomi finans veya mühendislik fakültelerinde saygın bir üniversiteden lisans derecesi varlık yönetimi veya banka veya menkul kıymet firmaları ekiplerinde iki yılı aşkın risk veya denetim veya iç kontrol deneyimi risk yönetimi kavramı hakkında genel bir anlayış finansal araçlar hakkında bilgi son teslim tarihleri içinde hızlı ve sıklıkla yüksek kaliteli belgeler sunan titizlik analiz ve sentez kapasitesi güçlü organizasyon becerileri detaylara dikkat proaktif ve inisiyatif kapasiteleri güvenilirlik özerklik ve dinamizm iletişim becerileri açık fikirlilik ve takım oyunculuğu ingilizce akıcılığı iyi derecede office araçları bilgisi,positive,male-dominated
82,Plant Controller,Controller/Inspector/Supervisor,Tercihen Ekonomi veya Finans alanında BA Tercihen uluslararası bir FMCG şirketinde ticaret veya tedarik zinciri veya operasyon ortamında finans alanında minimum yedi yıllık deneyim Maliyet fiyat hesaplamaları yatırım hesaplamaları konusunda deneyim Gelişmiş Excel ve PowerPoint becerileri SAP bilgisi Doğru esnek düşünebilen zaman yönetimi becerileri yüksek analitik becerileri yüksek Takım oyuncusu uygulamalı proaktif mükemmel iletişim becerileri bağımsız ve kendi kendine başlayabilen öğrenmeye ve daha fazla gelişmeye istekli aciliyet durumunda inisiyatif alabilen UFRS ve yerel GAAP hakkında güncel ve derinlemesine bilgi İngilizcede akıcılık,tercihen ekonomi veya finans alanında ba tercihen uluslararası bir fmcg şirketinde ticaret veya tedarik zinciri veya operasyon ortamında finans alanında minimum yedi yıllık deneyim maliyet fiyat hesaplamaları yatırım hesaplamaları konusunda deneyim gelişmiş excel ve powerpoint becerileri sap bilgisi doğru esnek düşünebilen zaman yönetimi becerileri yüksek analitik becerileri yüksek takım oyuncusu uygulamalı proaktif mükemmel iletişim becerileri bağımsız ve kendi kendine başlayabilen öğrenmeye ve daha fazla gelişmeye istekli aciliyet durumunda inisiyatif alabilen ufrs ve yerel gaap hakkında güncel ve derinlemesine bilgi ingilizcede akıcılık,positive,male-dominated
83,Na,Manager/director/head,Görsel İletişim Tasarımı Endüstriyel Tasarım Grafik Tasarım veya benzeri programlardan mezun Başarılı UX İnovasyon liderliği dahil on yılı aşkın profesyonel deneyim Kullanıcı deneyimi kullanılabilirlik ürün yaşam döngüsü konularında bilgi ve deneyim Figma Sketch Adobe XD ve Adobe Creative Studio gibi tasarım araçlarıyla çalışma becerisi Detaylara dikkat eden koçluk ve mentorluk becerilerine sahip kullanıcı merkezli karar verici Çevik bir ortamda ürün ekipleriyle çalışma deneyimi Mükemmel iletişim ve sunum becerileri Dijital pazarlama ve marka materyalleri tasarımına ilgi duyma liderlik İleri ingilizce,görsel iletişim tasarımı endüstriyel tasarım grafik tasarım veya benzeri programlardan mezun başarılı ux inovasyon liderliği dahil on yılı aşkın profesyonel deneyim kullanıcı deneyimi kullanılabilirlik ürün yaşam döngüsü konularında bilgi ve deneyim figma sketch adobe xd ve adobe creative studio gibi tasarım araçlarıyla çalışma becerisi detaylara dikkat eden koçluk ve mentorluk becerilerine sahip kullanıcı merkezli karar verici çevik bir ortamda ürün ekipleriyle çalışma deneyimi mükemmel iletişim ve sunum becerileri dijital pazarlama ve marka materyalleri tasarımına ilgi duyma liderlik ileri ingilizce,positive,male-dominated
84,Human Resources Manager,Manager/director/head,İlgili alanlarda en az lisans derecesiuluslararası şirketlerde İK alanında en az üç yıl deneyim Yerel iş hukuku bilgisi C&B yönetim disiplini ve işten çıkarma prosedürleri bilgisi Tercihen işe alım alanında geniş deneyime sahip ve üst düzey pozisyonları işe alma konusunda başarılı deneyime sahip Gelişmiş İngilizce becerileri Birden çok görevi yerine getirme ve değişen önceliklere ve ihtiyaçlara uyum sağlama yeteneği,ilgili alanlarda en az lisans derecesiuluslararası şirketlerde ik alanında en az üç yıl deneyim yerel iş hukuku bilgisi c&b yönetim disiplini ve işten çıkarma prosedürleri bilgisi tercihen işe alım alanında geniş deneyime sahip ve üst düzey pozisyonları işe alma konusunda başarılı deneyime sahip gelişmiş ingilizce becerileri birden çok görevi yerine getirme ve değişen önceliklere ve ihtiyaçlara uyum sağlama yeteneği,,male-dominated
85,Art Director,Manager/director/head,Tercihen üniversitelerin ilgili lisans bölümlerinden mezun En az beş yıl ATL/BTL/Dijital Ajans deneyimi olan Sosyal medya ve digital mecra uygulamaları tasarımlarına hakim Yaratıcı çalışmaların fikir süreçlerinde aktif rol oynayacak yaratıcı Photoshop Illustrator ve İyi derecede After Effect bilen Hızlı çözüm üreten ve uygulama yapabilen Zamanlama konusunda özenli ve disiplinli İletişim yetenekleri kuvvetli disiplinli ve düzenli çalışmayı seven,tercihen üniversitelerin ilgili lisans bölümlerinden mezun en az beş yıl atl/btl/dijital ajans deneyimi olan sosyal medya ve digital mecra uygulamaları tasarımlarına hakim yaratıcı çalışmaların fikir süreçlerinde aktif rol oynayacak yaratıcı photoshop illustrator ve iyi derecede after effect bilen hızlı çözüm üreten ve uygulama yapabilen zamanlama konusunda özenli ve disiplinli iletişim yetenekleri kuvvetli disiplinli ve düzenli çalışmayı seven,positive,male-dominated
86,Accounting Manager Assistant,Manager/director/head (assistant),Finans İşletme veya ilgili diğer bölümlerde okuyan veya bu bölümlerden yeni mezun olan Lisans öğrencileri Haftada en az dört gün ve yaz aylarında tam zamanlı çalışabilen Yazılı ve sözlü İngilizce akıcılığı İletişim becerileri güçlü detay odaklı Kendi kendini organize eden ve teslim tarihlerine uygun çalışabilen Muhasebe departmanında kariyer yapmayı hedefleyen,finans işletme veya ilgili diğer bölümlerde okuyan veya bu bölümlerden yeni mezun olan lisans öğrencileri haftada en az dört gün ve yaz aylarında tam zamanlı çalışabilen yazılı ve sözlü ingilizce akıcılığı iletişim becerileri güçlü detay odaklı kendi kendini organize eden ve teslim tarihlerine uygun çalışabilen muhasebe departmanında kariyer yapmayı hedefleyen,positive,male-dominated
87,Assistant IT Manager,Manager/director/head (assistant),İlgili alanlarda lisans derecesi zorunlu En az dört yıllık ilgili iş deneyimi İleri düzeyde sözlü ve yazılı İngilizce ve Türkçe bilgisi Çözüm sunumu ve uygulamasında proje yönetimi deneyimi Yeni teknolojilere ve trendlere karşı tutku Sağlam Bütünsel teknik BT bilgisi FMCG işi ve Tedarik Zinciri teknolojileri ve operasyonu konusunda deneyim Düzenli teknik ve işlevsel tartışmalara öncülük etmek için güçlü paydaş yönetimi becerileri,ilgili alanlarda lisans derecesi zorunlu en az dört yıllık ilgili iş deneyimi ileri düzeyde sözlü ve yazılı ingilizce ve türkçe bilgisi çözüm sunumu ve uygulamasında proje yönetimi deneyimi yeni teknolojilere ve trendlere karşı tutku sağlam bütünsel teknik bt bilgisi fmcg işi ve tedarik zinciri teknolojileri ve operasyonu konusunda deneyim düzenli teknik ve işlevsel tartışmalara öncülük etmek için güçlü paydaş yönetimi becerileri,positive,male-dominated
88,Office Assistant,Assistant,İş yükünü önceliklendirmek ve müşteri ilişkilerinin yönetilmesi Etkili bir şekilde yazılı ve sözlü iletişim kurabilmek Ofis içi tertip ve düzenin sağlanması Tasarım işlerine yardımcı olmak Çoklu görev yeteneği ile güçlü organizasyon becerisi sahibi olmak,iş yükünü önceliklendirmek ve müşteri ilişkilerinin yönetilmesi etkili bir şekilde yazılı ve sözlü iletişim kurabilmek ofis içi tertip ve düzenin sağlanması tasarım işlerine yardımcı olmak çoklu görev yeteneği ile güçlü organizasyon becerisi sahibi olmak,negative,female-dominated
89,Müşteri Asistanı,Assistant,Üniversite mezunu Güçlü iletişim becerisi İleri seviyede İngilizce yazma ve konuşma becerileri olan Emlak servisi yapabilme yeteneği olan Prezantabl Askerlik hizmetini tamamlamış veya tecilli Bilgisayar programlarını kullanabilen,üniversite mezunu güçlü iletişim becerisi ileri seviyede ingilizce yazma ve konuşma becerileri olan emlak servisi yapabilme yeteneği olan prezantabl askerlik hizmetini tamamlamış veya tecilli bilgisayar programlarını kullanabilen,negative,female-dominated
90,Ofis Asistanı,Assistant,Prezentasyon ve diksiyonu yüksek Güleryüzlü Sorumluluk sahibi Microsoft office programlarına hakim Esnek çalışma saatlerine uyum sağlayabilecek Zaman yönetimi olan ve sonuç odaklı Arşivleme sistemi hakkında tecrübeli En az lise mezunu Tercihen İngilizce bilen,prezentasyon ve diksiyonu yüksek güleryüzlü sorumluluk sahibi microsoft office programlarına hakim esnek çalışma saatlerine uyum sağlayabilecek zaman yönetimi olan ve sonuç odaklı arşivleme sistemi hakkında tecrübeli en az lise mezunu tercihen ingilizce bilen,negative,female-dominated
91,Office Assistant,Assistant,Proficiency in Microsoft Office Excellent written and verbal communication skills Ability to multi-task organize and prioritize work,proficiency in microsoft office excellent written and verbal communication skills ability to multi-task organize and prioritize work,negative,female-dominated
92,Office Assistant,Assistant,Sözlü yazılı ve telefon iletişim becerisi yüksek insan ilişkilerinde kendine güvenen pozitif güler yüzlü diksiyonu düzgün prezentabl Bilgisayar kullanabilen MS Office uygulamalarına hakim Grafik Tasarım Bilgisi Olan ve Sosyal Medyayı iyi kullanabilen Kadın,sözlü yazılı ve telefon iletişim becerisi yüksek insan ilişkilerinde kendine güvenen pozitif güler yüzlü diksiyonu düzgün prezentabl bilgisayar kullanabilen ms office uygulamalarına hakim grafik tasarım bilgisi olan ve sosyal medyayı iyi kullanabilen kadın,negative,female-dominated
93,Personal Assistant (Dubai),Secretary,yenilikleri seven organize özerk ve kendi inisiyatiflerini takip etmeye istekli,yenilikleri seven organize özerk ve kendi inisiyatiflerini takip etmeye istekli,negative,female-dominated
94,Secretary,Secretary,düzenli ve temiz çalışma ortamı seven ofis programlarını iyi derecede kullanan kibar saygılı Türkçe'yi doğru kullanan zaman yönetimi cihazların bakımından sorumlu olmak,düzenli ve temiz çalışma ortamı seven ofis programlarını iyi derecede kullanan kibar saygılı türkçe'yi doğru kullanan zaman yönetimi cihazların bakımından sorumlu olmak,negative,female-dominated
95,Sekreter,Secretary,Ekip çalışmasına inanan ve gerekliliklerine göre hareket eden Güçlü ikna ve iletişim becerileri olan insiyatif alabilen İletişimi kuvvetli ve diksiyonu düzgün Kendine güveni yüksek Çalışmayı seven,ekip çalışmasına inanan ve gerekliliklerine göre hareket eden güçlü ikna ve iletişim becerileri olan insiyatif alabilen iletişimi kuvvetli ve diksiyonu düzgün kendine güveni yüksek çalışmayı seven,negative,female-dominated
96,Tıbbi Sekreter,Secretary,tıbbi terminolojisi olan insan ilişkilerinde başarılı bayan ,tıbbi terminolojisi olan insan ilişkilerinde başarılı bayan ,negative,female-dominated
97,Sekreter,Secretary,Çok iyi derecede word Excel bilgisine sahip bir-iki yıl muhasebe konusunda tecrübeli Anadolu yakasında ikamet eden bayan,çok iyi derecede word excel bilgisine sahip bir-iki yıl muhasebe konusunda tecrübeli anadolu yakasında ikamet eden bayan,negative,female-dominated
98,Secretary,Secretary,Çok iyi seviyede MS Office veya Excell bilgisine sahip Planlama ve organizasyon yeteneği gelişmiş koordinasyon ve takip becerisi yüksek İyi derecede sözlü ve yazılı iletişim becerisine sahip Temsil yeteneği güçlü diksiyonu düzgün canlı pozitif ve güler yüzlü Ekip çalışmasına uyum sağlayabilecek Tercihen ön lisans veya lisans mezunu Planlı çalışma becerisi ve alışkanlığı olan Diksiyonu temsil kabiliyeti yazılı ve sözlü iletişim becerisi yüksek Yönetici asistanlığı veya sekreterlik alanında tercihen iki yıl deneyimli Prezantabl kendine özgüveni yüksek güler yüzlü Zaman yönetimi konusunda başarılı Tercihen ön muhasebe tutma konusunda tecrübe sahibi,çok iyi seviyede ms office veya excell bilgisine sahip planlama ve organizasyon yeteneği gelişmiş koordinasyon ve takip becerisi yüksek iyi derecede sözlü ve yazılı iletişim becerisine sahip temsil yeteneği güçlü diksiyonu düzgün canlı pozitif ve güler yüzlü ekip çalışmasına uyum sağlayabilecek tercihen ön lisans veya lisans mezunu planlı çalışma becerisi ve alışkanlığı olan diksiyonu temsil kabiliyeti yazılı ve sözlü iletişim becerisi yüksek yönetici asistanlığı veya sekreterlik alanında tercihen iki yıl deneyimli prezantabl kendine özgüveni yüksek güler yüzlü zaman yönetimi konusunda başarılı tercihen ön muhasebe tutma konusunda tecrübe sahibi,negative,female-dominated
99,Ofis Sekreteri,Secretary,yirmi beş-otuz beş yaş arası deneyimli bayan,yirmi beş-otuz beş yaş arası deneyimli bayan,negative,female-dominated
100,Sekreter/Ön Muhasebe Personeli ,Secretary, Üniversitelerin ilgili bölümlerinden mezun Aktif telefon akışını yönetebilecek Öğrenmeye açık takım çalışmasına yatkın E fatura sistemine hakim Cari hesap Mutabakatlarını yapabilecek MS Office Programlarını aktif kullanan Toplantı etkinlik ve randevuları planlayacak İthalat ve İhracat evraklarını hazırlamayı bilen, üniversitelerin ilgili bölümlerinden mezun aktif telefon akışını yönetebilecek öğrenmeye açık takım çalışmasına yatkın e fatura sistemine hakim cari hesap mutabakatlarını yapabilecek ms office programlarını aktif kullanan toplantı etkinlik ve randevuları planlayacak ithalat ve ihracat evraklarını hazırlamayı bilen,negative,female-dominated
